# some data to work with
date,mm
2/1/2006,3.8
10/1/2006,5.1
13/1/2006,12.7
2/4/2006,2.5
7/4/2006,5.1
15/4/2006,5.1
22/4/2006,1.3
26/4/2006,12.7
27/4/2006,2.5
28/4/2006,26.7
29/4/2006,1.3
4/5/2006,5.1
5/5/2006,27.9
7/5/2006,7.6
8/5/2006,45.7
9/5/2006,20.3
11/5/2006,2.5
21/5/2006,1.3
23/5/2006,2.5
26/5/2006,5.1
29/5/2006,35.6
30/5/2006,10.2
13/6/2006,12.7
21/6/2006,17.8
22/6/2006,15.2
29/6/2006,25.4
30/6/2006,10.2
3/7/2006,10.2
4/7/2006,2.5
7/7/2006,3.8
8/7/2006,5.1
9/7/2006,2.5
10/7/2006,10.2
11/7/2006,5.1
14/7/2006,38.1
15/7/2006,1.3
17/7/2006,1.3
19/7/2006,12.7
27/7/2006,14.0
29/7/2006,10.2
30/7/2006,20.3
31/7/2006,1.3
6/8/2006,7.6
7/8/2006,2.5
11/8/2006,2.5
15/8/2006,6.4
21/8/2006,1.3
26/8/2006,1.3
28/8/2006,2.5
29/8/2006,5.1
2/9/2006,6.4
3/9/2006,6.4
7/9/2006,15.2
12/9/2006,17.8
16/9/2006,16.5
18/9/2006,27.9
29/9/2006,2.5
1/10/2006,1.3
5/10/2006,5.1
6/10/2006,1.3
7/10/2006,1.3
10/10/2006,22.9
11/10/2006,88.9
13/10/2006,83.8
19/10/2006,38.1
20/10/2006,94.0
21/10/2006,63.5
22/10/2006,22.9
27/10/2006,3.8
28/10/2006,2.5
30/10/2006,3.8
3/11/2006,12.7
20/11/2006,2.5
25/11/2006,3.8
28/11/2006,25.4
29/11/2006,2.5
4/12/2006,17.8
5/12/2006,6.4
8/12/2006,2.5
13/12/2006,5.1
17/12/2006,5.1
28/12/2006,17.8
30/12/2006,5.1
31/12/2006,2.5
1/1/2007,17.8
2/1/2007,2.5
4/1/2007,12.7
13/1/2007,20.3
14/1/2007,6.4
19/1/2007,12.7
22/1/2007,25.4
24/1/2007,25.4
27/1/2007,25.4
31/1/2007,25.4
2/2/2007,25.4
9/2/2007,6.4
15/3/2007,10.2
16/3/2007,14.0
22/3/2007,14.0
23/3/2007,5.1
27/3/2007,10.2
28/3/2007,7.6
26/4/2007,8.9
27/4/2007,6.4
6/5/2007,10.2
12/5/2007,7.6
22/5/2007,1.0
26/5/2007,2.5
10/6/2007,12.7
17/6/2007,6.4
18/6/2007,2.5
26/6/2007,6.4
4/7/2007,3.1
5/7/2007,5.1
7/7/2007,2.5
8/7/2007,17.8
16/7/2007,33.0
17/7/2007,2.5
18/7/2007,0.8
19/7/2007,3.3
20/7/2007,88.9
22/7/2007,5.1
23/7/2007,5.1
4/8/2007,12.7
5/8/2007,5.1
6/8/2007,5.1
7/8/2007,5.1
10/8/2007,2.5
18/8/2007,14.0
22/8/2007,2.5
24/8/2007,19.1
2/9/2007,19.1
4/9/2007,0.5
8/9/2007,21.6
9/9/2007,2.5
14/9/2007,2.5
15/9/2007,7.6
22/9/2007,1.3
23/9/2007,6.4
24/9/2007,7.6
25/9/2007,10.2
26/9/2007,30.5
30/9/2007,1.3
3/10/2007,5.1
4/10/2007,2.5
5/10/2007,5.1
6/10/2007,12.7
8/10/2007,12.7
10/10/2007,2.5
13/10/2007,2.5
23/10/2007,25.4
24/10/2007,7.6
26/10/2007,88.9
27/10/2007,3.8
28/10/2007,11.4
5/11/2007,6.4
6/11/2007,1.3
27/11/2007,38.1
28/11/2007,3.8
30/11/2007,5.1
3/12/2007,5.1
9/12/2007,6.4
10/12/2007,7.6
11/12/2007,14.0
1/1/2008,6.4
2/1/2008,33.0
5/1/2008,34.3
6/1/2008,8.9
18/1/2008,3.8
19/1/2008,6.4
20/1/2008,2.5
21/1/2008,96.5
22/1/2008,10.2
25/1/2008,2.5
1/2/2008,12.7
5/2/2008,5.1
7/2/2008,5.1
9/2/2008,2.5
12/2/2008,2.5
14/2/2008,3.8
16/2/2008,5.1
18/2/2008,12.7
21/2/2008,7.6
22/2/2008,5.1
27/2/2008,5.1
7/3/2008,10.2
9/3/2008,6.4
10/3/2008,10.2
12/3/2008,5.1
23/3/2008,17.8
25/3/2008,6.4
26/3/2008,7.6
28/3/2008,7.6
31/3/2008,7.6
3/4/2008,2.5
6/4/2008,3.8
15/4/2008,2.5
27/4/2008,16.5
28/4/2008,6.4
29/4/2008,1.3
22/5/2008,1.3
27/5/2008,25.4
28/5/2008,10.2
2/6/2008,11.4
5/6/2008,1.3
10/6/2008,5.1
11/6/2008,2.5
12/6/2008,1.3
21/6/2008,7.6
24/6/2008,12.7
5/7/2008,1.3
6/7/2008,2.5
7/7/2008,1.3
9/7/2008,16.5
18/7/2008,1.3
27/7/2008,21.6
31/7/2008,5.1
2/8/2008,17.8
3/8/2008,6.4
6/8/2008,2.5
9/8/2008,1.3
10/8/2008,2.5
15/8/2008,10.2
21/8/2008,5.1
29/8/2008,6.4
30/8/2008,7.6
1/9/2008,2.5
3/9/2008,5.1
5/9/2008,2.5
6/9/2008,1.3
7/9/2008,11.4
8/9/2008,12.7
9/9/2008,7.6
11/9/2008,2.5
18/9/2008,30.5
19/9/2008,3.8
